NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-038,811636,A369,1,ANGLE,5.17,87.894,17.94,L,3 x 3 x 1/4,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Fab/Layout,2587,0.967725
23-038,811636,A369,1,ANGLE,5.17,87.894,17.94,L,3 x 3 x 1/4,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Weld,1134,0.06822
23-038,811641,A370,1,ANGLE,5.17,99.633,20.33,L,3 x 3 x 1/4,"B - Steel, No Paint Wide Flange Beam Tops",1,6,Fab/Layout,1800,5.4128
23-038,866813,P528,1,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Fab/Layout,237,0.98138
23-038,866813,P528,1,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Material Handling,4,0.058065000000000005
23-038,866813,P528,1,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Weld,196,0.03485
23-038,866813,P528,2,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Fab/Layout,167,0.49069
23-038,866813,P528,2,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Material Handling,5,0.058065000000000005
23-038,866813,P528,2,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Weld,197,0.03485
23-038,866813,P528,3,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Fab/Layout,166,0.49069
23-038,866813,P528,3,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Material Handling,4,0.058065000000000005
23-038,866813,P528,3,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Weld,197,0.03485
23-038,866813,P528,4,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Fab/Layout,166,0.49069
23-038,866813,P528,4,PLATE,0.58,8.612,0.98,PL,1/2 x 7,"B - Steel, No Paint Wide Flange Beam Tops",4,2,Material Handling,4,0.058065000000000005
