NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-011,572037,B1320,1,BEAM,19.76,806.095,92.66,W,12 x 40,E - Exterior Exposed,2,1,Material Handling,10,0.604195
23-011,572468,B1393,1,BEAM,20.97,1171.992,111.19,W,14 x 53,E - Exterior Exposed,2,11,Weld,1424,0.0
23-011,572808,B1478,1,BEAM,19.15,661.395,103.64,W,12 x 26,E - Exterior Exposed,1,20,Fab/Layout,147,0.0
23-011,572808,B1478,1,BEAM,19.15,661.395,103.64,W,12 x 26,E - Exterior Exposed,1,20,Weld,339,0.0
23-011,573404,C1051,1,COLUMN,40.38,212.593,25.15,W,33 x 118,E - Exterior Exposed,1,112,Fab/Layout,1755,0.0
23-011,574752,C1123,1,COLUMN,30.61,3820.447,260.28,HSS,12 x 12 x 0.375,E - Exterior Exposed,1,14,Fab/Layout,395,0.0
23-011,574752,C1123,1,COLUMN,30.61,3820.447,260.28,HSS,12 x 12 x 0.375,E - Exterior Exposed,1,14,Weld,1425,0.0
23-011,574762,C1125,1,COLUMN,33.03,4170.013,284.82,HSS,12 x 12 x 0.375,E - Exterior Exposed,1,17,Weld,1513,0.0
23-011,574844,C1134,1,COLUMN,45.65,17269.132,1433.39,W,33 x 118,ES - Special Case/Exterior Exposed,1,135,Fab/Layout,1018,0.0
23-011,574844,C1134,1,COLUMN,45.65,17269.132,1433.39,W,33 x 118,ES - Special Case/Exterior Exposed,1,135,Weld,972,0.0
23-011,574927,C1136,1,COLUMN,41.04,10507.316,879.43,W,33 x 118,ES - Special Case/Exterior Exposed,1,58,Weld,1015,12.37347
23-011,575417,P1018,7,PLATE,1.17,12.477,1.35,PL,1 x 12 5/8    §,N - No Paint,10,1,Fab/Layout,61,0.0
23-011,575484,P1045,1,GUSSET PL,0.92,403.154,49.91,PL,3/4 x 4 15/16,E - Exterior Exposed,2,2,Fab/Layout,38,0.0
23-011,575484,P1045,1,GUSSET PL,0.92,403.154,49.91,PL,3/4 x 4 15/16,E - Exterior Exposed,2,2,Weld,91,0.0
23-011,575484,P1045,2,GUSSET PL,0.92,403.154,49.91,PL,3/4 x 4 15/16,E - Exterior Exposed,2,2,Fab/Layout,35,0.0
